iter	RMSE
0	6853.005924
1	6815.909102
2	6785.193135
3	6756.510909
4	6729.309128
5	6701.779312
6	6674.52415
7	6653.316605
8	6636.034438
9	6619.435809
10	6601.092824
11	6585.548875
12	6572.950509
13	6561.508173
14	6550.978293
15	6534.258803
16	6526.396332
17	6517.118965
18	6508.835549
19	6501.276568
20	6492.400228
21	6484.209051
22	6476.819827
23	6464.138788
24	6458.051461
25	6448.682823
26	6441.330312
27	6432.541909
28	6424.569152
29	6417.690715
30	6407.675712
31	6402.447867
32	6391.729905
33	6385.35055
34	6375.373827
35	6371.061872
36	6365.319981
37	6357.346948
38	6352.430707
39	6346.492065
40	6340.33843
41	6335.891835
42	6332.534118
43	6324.903046
44	6321.173436
45	6318.566056
46	6315.381827
47	6303.390538
48	6296.631583
49	6288.575853
50	6281.020518
51	6274.812441
52	6268.168824
53	6258.529592
54	6256.016965
55	6252.584013
56	6246.634567
57	6239.60726
58	6233.131143
59	6227.409267
60	6221.169438
61	6211.83502
62	6210.588503
63	6208.666411
64	6203.673517
65	6200.264528
66	6196.649317
67	6193.973016
68	6186.488036
69	6182.575783
70	6174.80158
71	6168.796783
72	6167.054974
73	6162.214298
74	6157.265487
75	6150.019585
76	6142.456429
77	6136.148106
78	6132.219034
79	6129.445906
80	6126.017151
81	6121.392936
82	6116.750512
83	6112.032607
84	6109.224077
85	6104.655793
86	6096.54251
87	6093.996703
88	6088.995559
89	6085.180657
90	6081.921985
91	6072.691333
92	6065.555811
93	6060.827578
94	6053.838904
95	6052.811235
96	6049.181326
97	6044.681779
98	6040.417338
99	6034.945805
100	6030.065964
101	6024.9543
102	6020.927203
103	6014.880519
104	6012.782083
105	6009.789577
106	6006.712056
107	6005.481524
108	6002.450549
109	5997.767824
110	5992.898604
111	5988.679542
112	5984.960231
113	5982.383344
114	5978.639747
115	5973.522721
116	5969.800499
117	5963.774731
118	5955.108249
119	5951.520274
120	5948.310492
121	5945.338678
122	5942.024108
123	5940.308691
124	5936.333437
125	5933.102824
126	5928.195553
127	5925.337078
128	5921.66378
129	5918.890936
130	5916.903616
131	5914.66931
132	5910.394084
133	5908.706328
134	5906.612269
135	5902.397839
136	5900.813673
137	5897.28024
138	5892.797391
139	5888.850002
140	5883.705143
141	5880.757484
142	5876.106058
143	5870.79149
144	5868.185885
145	5861.493653
146	5858.352428
147	5855.878728
148	5852.578934
149	5849.032849
150	5847.114555
151	5844.169085
152	5841.404941
153	5836.120412
154	5833.523006
155	5827.826217
156	5821.709945
157	5815.348968
158	5813.755532
159	5810.729033
160	5808.794372
161	5805.798788
162	5800.767987
163	5796.525707
164	5792.955804
165	5787.774982
166	5781.70105
167	5777.468886
168	5773.997339
169	5768.380086
170	5763.030846
171	5758.847667
172	5755.834273
173	5748.996603
174	5743.273206
175	5742.04327
176	5740.551771
177	5737.681262
178	5736.079166
179	5730.520695
180	5723.951638
181	5722.528805
182	5718.428755
183	5714.686813
184	5710.266252
185	5708.921847
186	5707.109913
187	5702.594628
188	5699.963657
189	5696.571499
190	5692.83872
191	5689.7531
192	5683.292742
193	5677.37929
194	5667.602181
195	5664.604895
196	5658.627459
197	5654.308093
198	5650.016107
199	5643.60059
200	5638.479784
201	5636.955237
202	5631.565178
203	5626.644131
204	5621.447323
205	5617.679545
206	5616.329229
207	5611.491754
208	5607.829375
209	5604.783219
210	5598.372297
211	5594.134377
212	5591.345023
213	5587.463703
214	5583.040556
215	5579.921871
216	5577.091591
217	5575.528151
218	5574.292923
219	5570.963031
220	5564.698422
221	5559.448586
222	5555.532213
223	5552.545582
224	5548.673419
225	5542.687575
226	5541.348287
227	5537.138938
228	5536.383867
229	5529.76004
230	5528.189628
231	5523.332365
232	5519.835164
233	5515.356678
234	5509.390477
235	5503.894586
236	5499.849735
237	5498.721758
238	5497.802503
239	5495.943688
240	5488.153654
241	5484.290622
242	5483.082184
243	5479.304128
244	5477.441424
245	5473.528128
246	5471.582516
247	5470.484058
248	5466.861792
249	5463.274653
250	5460.982525
251	5457.336463
252	5454.176237
253	5447.69716
254	5443.788814
255	5440.831402
256	5437.589759
257	5435.004879
258	5430.719707
259	5427.892565
260	5422.354591
261	5418.71895
262	5413.026531
263	5408.616045
264	5407.416227
265	5405.768408
266	5403.768241
267	5402.844491
268	5399.392454
269	5395.037866
270	5393.636955
271	5390.42278
272	5388.133595
273	5384.127232
274	5381.650454
275	5378.535506
276	5373.075492
277	5369.434514
278	5365.479046
279	5361.075927
280	5359.926547
281	5356.911074
282	5353.232042
283	5350.972457
