iter	Logloss
0	0.689729809
1	0.6844091325
2	0.6808373075
3	0.6757604884
4	0.6710974465
5	0.6657491964
6	0.6615248824
7	0.6569591072
8	0.6516564886
9	0.6474449516
10	0.6424689508
11	0.6375237413
12	0.6325203189
13	0.6286622938
14	0.6240306772
15	0.6194275828
16	0.6153208007
17	0.6112176274
18	0.6072217245
19	0.603650539
20	0.5993287617
21	0.595470578
22	0.5917384909
23	0.5881257246
24	0.5842928699
25	0.5823371321
26	0.5787332843
27	0.5768575431
28	0.5737980076
29	0.5705174024
30	0.5682937455
31	0.5651173015
32	0.5627481939
33	0.560087118
34	0.5580192583
35	0.5548974999
36	0.552219028
37	0.5492837733
38	0.5466135478
39	0.5442225953
40	0.5415461854
41	0.5387713859
42	0.536481072
43	0.5338937639
44	0.5315775847
45	0.5291098632
46	0.5267003381
47	0.5240941851
48	0.5223728947
49	0.5198006424
50	0.5180351312
51	0.5159884487
52	0.5148392429
53	0.5123126095
54	0.5106837817
55	0.5089093182
56	0.5069714383
57	0.5052248527
58	0.503457134
59	0.5015286192
60	0.4994078671
61	0.4983292852
62	0.4965214877
63	0.4950354357
64	0.4940531724
65	0.4925343535
66	0.4907098106
67	0.4892669577
68	0.4876601863
69	0.4861483591
70	0.4848503984
71	0.4832629493
72	0.4824931699
73	0.4808645545
74	0.4794005772
75	0.4785925722
76	0.4776013162
77	0.4762898523
78	0.4749319133
79	0.4735265804
80	0.4722414694
81	0.4711439328
82	0.4697827691
83	0.4683751089
84	0.4678325939
85	0.4670648712
86	0.4657195632
87	0.4644587435
88	0.4631467024
89	0.4618844555
90	0.4606280092
91	0.4594205199
92	0.4589612369
93	0.4578615443
94	0.4571066429
95	0.4561081528
96	0.4552215108
97	0.4541312081
98	0.453187548
99	0.4519866679
100	0.451599064
101	0.4508344949
102	0.4497548562
103	0.4486708511
104	0.4480402775
105	0.4473058651
106	0.4463015654
107	0.4456156394
108	0.4448266536
109	0.4439402004
110	0.4436220361
111	0.4425656689
112	0.4417129551
113	0.440858363
114	0.4397723325
115	0.4388039059
116	0.4382284355
117	0.4374397626
118	0.4366184305
119	0.4357554133
120	0.4350313136
121	0.4346829713
122	0.434049585
123	0.4330101698
124	0.4322114306
125	0.4319697095
126	0.4312233185
127	0.4309468161
128	0.4301226165
129	0.4295774001
130	0.4291729414
131	0.4287592539
132	0.4283010998
133	0.4276191794
134	0.4271104194
135	0.4264428341
136	0.4260370637
137	0.4254689184
138	0.4247574883
139	0.4241179148
140	0.4235536807
141	0.4232123158
142	0.4227387421
143	0.4222179287
144	0.4218423868
145	0.4212249425
146	0.4206292964
147	0.4203493153
148	0.4201970983
149	0.4200477066
150	0.4194931894
151	0.4191503923
152	0.4185086781
153	0.4178216402
154	0.4176440677
155	0.4171552578
156	0.4165090664
157	0.4161362533
158	0.4156193479
159	0.4151528099
160	0.4148231224
161	0.4147045839
162	0.4142811546
163	0.41381597
164	0.4135522325
165	0.4130896222
166	0.4126951853
167	0.4121545186
168	0.4116127065
169	0.4112210249
170	0.4108616247
171	0.4104135646
172	0.4100938784
173	0.4096885051
174	0.4091221031
175	0.4087829866
176	0.4084170392
177	0.4082413578
178	0.4078005579
179	0.4073219794
180	0.4070443089
181	0.4063242333
182	0.4060362543
183	0.4058039261
184	0.405303106
185	0.404926015
186	0.4046129276
187	0.4045413452
188	0.404283537
189	0.4041696935
190	0.4038640976
191	0.4037164467
192	0.403407257
193	0.4029827358
194	0.4027449188
195	0.4023028752
196	0.4017997096
197	0.4017387526
198	0.401642643
199	0.4012247697
200	0.4010321116
201	0.4007035516
202	0.4003527832
203	0.3999621797
204	0.3997534415
205	0.3994342082
206	0.3993072015
207	0.3990581936
208	0.3986439259
209	0.3983065201
210	0.3978432549
211	0.3976484171
212	0.3971059993
213	0.3967621696
214	0.3967087951
215	0.3961787086
216	0.3957282175
217	0.3953616105
218	0.3949405139
219	0.394504924
220	0.3941044239
221	0.3939242845
222	0.3936236142
223	0.3932192741
224	0.3929771077
225	0.3929206535
226	0.3924154619
227	0.3922159838
228	0.3918869025
229	0.3915820329
230	0.3913121345
231	0.3910747288
232	0.3908417857
233	0.3905431818
234	0.3903053945
235	0.3900115288
236	0.3895601345
237	0.3892864925
238	0.3889515155
239	0.3885951901
240	0.3880645004
241	0.3879184629
242	0.3877408837
243	0.3873756782
244	0.3871759267
245	0.3869062318
246	0.3866847695
247	0.3863004755
248	0.3861677869
249	0.3858351366
250	0.3857813398
251	0.3855643057
252	0.3853346562
253	0.3849883978
254	0.3849441551
255	0.3847236465
256	0.3844421128
257	0.3842592787
258	0.3839837368
259	0.3838031178
260	0.3836499154
261	0.3834131322
262	0.3830982789
263	0.3828155906
264	0.3824657381
265	0.3823431567
266	0.382292675
267	0.3820380721
268	0.3818389331
269	0.3816732858
270	0.3813937699
271	0.3811901445
272	0.3809643822
273	0.3809011551
274	0.3807235102
275	0.3805023085
276	0.3802415313
277	0.3799649666
278	0.3797846
279	0.3797676243
280	0.3794535764
281	0.3791965439
282	0.3790070973
283	0.3788448582
284	0.378595909
285	0.3783665164
286	0.3782298579
287	0.3780745792
288	0.3777368343
289	0.3775091447
290	0.3773156166
291	0.376955821
292	0.3768266114
293	0.3767348351
294	0.3764779765
295	0.3763413413
296	0.3760443804
297	0.3757665294
298	0.3756781501
299	0.3753020584
300	0.3751005873
301	0.3748332177
302	0.3747302272
303	0.3745990119
304	0.3744609786
305	0.3743238657
306	0.3742291725
307	0.3739154794
308	0.3738849072
309	0.373766763
310	0.3735684922
311	0.3732828459
312	0.3730359134
313	0.3729229018
314	0.3728899478
315	0.3726204593
316	0.372339338
317	0.372157026
318	0.3718676032
319	0.3716361173
320	0.3714005001
321	0.3711872494
322	0.3711493919
323	0.3709743273
324	0.3708208972
325	0.3708113242
326	0.3706409491
327	0.3704738774
328	0.3702830535
329	0.3700927395
330	0.3699307414
331	0.3697471863
332	0.3694570076
333	0.3692343565
334	0.3691637337
335	0.3688894245
336	0.3687807982
337	0.3684717954
338	0.3682211501
339	0.3680833297
340	0.3680426584
341	0.3678925988
342	0.3677872482
343	0.367548866
344	0.3673319292
345	0.3671256696
346	0.3670450685
347	0.3668316275
348	0.3667524718
349	0.3665501641
350	0.366385769
351	0.3662339809
352	0.3660916597
353	0.3659005422
354	0.3657258446
355	0.3655135836
356	0.3653817918
357	0.3652703719
358	0.3651264812
359	0.3650418341
360	0.3649120648
361	0.3647368489
362	0.3644370575
363	0.3644018601
364	0.3642479326
