iter	Passed	Remaining
0	0	322
1	1	520
2	1	507
3	2	525
4	2	506
5	3	536
6	3	560
7	4	582
8	5	594
9	6	597
10	6	605
11	7	612
12	8	617
13	8	600
14	9	602
15	9	603
16	10	604
17	11	600
18	11	602
19	12	597
20	12	598
21	13	601
22	14	598
23	14	601
24	15	604
25	15	592
26	16	594
27	16	583
28	17	577
29	17	575
30	18	577
31	19	579
32	19	580
33	20	578
34	20	573
35	21	575
36	22	577
37	22	579
38	23	581
39	24	583
40	24	583
41	25	583
42	26	583
43	26	584
44	27	585
45	28	584
46	28	585
47	29	586
48	30	586
49	30	587
50	31	587
51	32	588
52	32	584
53	33	584
54	33	579
55	34	579
56	35	580
57	35	576
58	36	578
59	36	579
60	37	579
61	38	579
62	38	577
63	39	574
64	39	571
65	40	570
66	40	570
67	41	570
68	42	571
69	43	571
70	43	570
71	44	570
72	44	567
73	45	567
74	46	568
75	46	565
76	47	564
77	47	565
78	48	565
79	49	565
80	49	565
81	50	565
82	51	565
83	51	565
84	52	561
85	52	560
86	53	560
87	54	560
88	54	559
89	55	559
90	56	559
91	56	559
92	56	555
93	57	555
94	58	552
95	58	551
96	59	551
97	59	551
98	60	551
99	61	550
100	61	547
101	62	546
102	62	546
103	63	545
104	63	545
105	64	545
106	65	544
107	65	543
108	66	543
109	67	543
110	67	541
111	68	541
112	68	540
113	69	540
114	70	540
115	70	539
116	71	537
117	71	537
118	72	537
119	73	537
120	73	537
121	74	535
122	75	535
123	75	535
124	76	535
125	76	533
126	77	532
127	77	530
128	78	530
129	79	529
130	79	529
131	80	528
132	81	528
133	81	528
134	82	528
135	83	527
136	83	527
137	84	526
138	84	525
139	85	525
140	86	525
141	86	523
142	87	522
143	87	521
144	88	521
145	89	521
146	89	521
147	90	519
148	90	517
149	90	515
150	91	514
151	92	514
152	92	514
153	93	513
154	93	512
155	94	511
156	95	511
157	95	510
158	96	510
159	97	509
160	98	511
161	98	509
162	99	508
163	99	508
164	100	508
165	101	508
166	101	508
167	102	507
168	103	507
169	103	506
170	104	506
171	105	505
172	105	505
173	106	505
174	107	504
175	107	504
176	108	504
177	109	503
178	109	503
179	110	502
180	111	502
181	111	502
182	112	501
183	112	499
184	113	499
185	114	499
186	114	499
187	115	497
188	115	495
189	115	494
190	116	493
191	117	492
192	117	491
193	118	491
194	118	491
195	119	490
196	120	490
197	120	488
198	121	487
199	121	486
200	122	486
201	123	486
202	123	485
203	124	485
204	125	485
205	125	484
206	126	483
207	126	483
208	127	482
209	128	482
210	128	481
211	129	481
212	130	481
213	130	480
214	131	479
215	132	479
216	132	478
217	133	478
218	134	477
219	134	477
220	135	477
221	136	476
222	136	476
223	137	475
224	138	475
225	138	474
226	139	473
227	139	472
228	140	472
229	140	471
230	141	471
231	142	470
232	142	469
233	143	469
234	144	469
235	144	468
236	145	468
237	146	467
238	146	467
239	147	466
240	148	466
241	148	465
242	149	464
243	149	464
244	150	464
245	151	463
246	151	463
247	152	462
248	153	462
249	153	461
250	154	460
251	155	460
252	155	459
253	156	459
254	156	458
255	157	458
256	158	457
257	158	457
258	159	456
259	160	456
260	161	456
261	161	455
262	162	455
263	163	454
264	163	454
265	164	453
266	164	452
267	165	452
268	166	451
269	166	451
270	167	450
271	168	450
272	168	449
273	169	448
274	169	448
275	170	447
276	171	446
277	171	446
278	172	445
279	172	444
280	173	444
281	174	443
282	174	442
283	175	442
284	176	442
285	176	441
286	177	441
287	178	440
288	178	440
289	179	439
290	180	439
291	180	438
292	181	437
293	182	437
294	182	436
295	183	436
296	184	435
297	184	435
298	185	433
299	185	433
300	186	433
301	187	433
302	188	433
303	188	432
304	189	431
305	190	431
306	190	431
307	191	430
308	192	429
309	192	429
310	193	428
311	194	428
312	194	427
313	195	427
314	195	425
315	196	425
316	197	424
317	197	424
318	198	423
319	199	423
320	199	422
321	200	422
322	201	421
323	201	420
324	202	420
325	202	419
326	203	418
327	204	418
328	204	417
329	205	417
330	206	416
331	206	416
332	207	415
333	208	415
334	208	414
335	209	414
336	210	413
337	210	413
338	211	412
339	212	412
340	212	411
341	213	410
342	214	410
343	214	409
344	215	409
345	216	408
346	216	408
347	217	407
348	218	407
349	218	406
350	219	406
351	220	405
352	220	404
353	221	404
