iter	Passed	Remaining
0	47	47397
1	48	24051
2	48	16217
3	49	12322
4	58	11651
5	64	10660
6	65	9246
7	65	8180
8	66	7308
9	67	6648
10	67	6107
11	68	5630
12	73	5617
13	74	5270
14	75	4981
15	76	4708
16	84	4867
17	94	5148
18	95	4906
19	95	4698
20	96	4518
21	97	4338
22	98	4180
23	99	4030
24	99	3891
25	100	3776
26	101	3660
27	102	3550
28	108	3639
29	127	4113
30	128	4001
31	128	3899
32	148	4359
33	149	4247
34	150	4144
35	151	4051
36	151	3955
37	152	3868
38	169	4166
39	169	4075
40	170	3987
41	170	3895
42	171	3815
43	172	3738
44	172	3665
45	173	3595
46	174	3528
47	174	3463
48	175	3401
49	175	3341
50	176	3285
51	177	3230
52	177	3178
53	178	3128
54	179	3080
55	179	3032
56	180	2986
57	181	2942
58	181	2899
59	182	2858
60	183	2818
61	183	2779
62	184	2741
63	184	2705
64	185	2670
65	186	2635
66	186	2602
67	187	2570
68	188	2538
69	188	2508
70	189	2478
71	190	2449
72	190	2420
73	190	2389
74	191	2362
75	192	2337
76	192	2312
77	193	2288
78	194	2264
79	194	2241
80	195	2218
81	196	2194
82	196	2171
83	197	2150
84	197	2129
85	198	2109
86	198	2087
87	199	2068
88	200	2049
89	200	2031
90	201	2013
91	202	1995
92	202	1978
93	203	1961
94	204	1945
95	204	1928
96	205	1913
97	206	1897
98	206	1882
99	207	1867
100	208	1852
101	208	1838
102	209	1823
103	210	1809
104	210	1796
105	211	1783
106	212	1769
107	212	1756
108	213	1743
109	213	1730
110	214	1718
111	215	1706
112	215	1694
113	216	1682
114	217	1671
115	217	1659
116	218	1648
117	219	1637
118	219	1626
119	220	1615
120	221	1605
121	221	1595
122	222	1584
123	222	1573
124	223	1563
125	224	1553
126	224	1544
127	225	1534
128	225	1525
129	226	1515
130	227	1506
131	227	1498
132	228	1489
133	229	1480
134	229	1471
135	230	1463
136	231	1455
137	231	1447
138	232	1439
139	232	1431
140	233	1422
141	233	1413
142	234	1405
143	235	1398
144	235	1390
145	236	1383
146	237	1376
147	237	1369
148	238	1362
149	239	1354
150	239	1347
151	240	1340
152	240	1333
153	241	1326
154	241	1318
155	242	1312
156	243	1305
157	243	1299
158	244	1294
159	245	1287
160	245	1281
161	246	1275
162	246	1267
163	248	1264
164	248	1259
165	249	1253
166	250	1247
167	250	1242
168	251	1236
169	252	1230
170	252	1225
171	253	1220
172	254	1214
173	254	1209
174	255	1203
175	255	1198
176	256	1193
177	257	1189
178	257	1183
179	258	1178
180	258	1171
181	259	1166
182	260	1162
183	260	1157
184	261	1152
185	262	1148
186	263	1143
187	263	1138
188	264	1134
189	264	1129
190	265	1124
191	266	1120
192	266	1116
193	267	1111
194	268	1107
195	268	1102
196	269	1098
197	270	1093
198	270	1089
199	271	1085
200	271	1081
201	272	1076
202	273	1072
203	273	1068
204	274	1064
205	275	1060
206	275	1056
207	276	1052
208	277	1048
209	277	1044
210	278	1040
211	278	1036
212	279	1033
213	280	1029
214	280	1025
215	281	1021
216	282	1018
217	282	1014
218	283	1011
219	284	1007
220	284	1003
221	285	1000
