iter	RMSE
0	0.8858239318
1	0.8840804251
2	0.8825755135
3	0.8811728198
4	0.8800187374
5	0.8790383735
6	0.8780104956
7	0.8772545168
8	0.8765341162
9	0.8757908188
10	0.875252801
11	0.8746799362
12	0.8742285872
13	0.8737771929
14	0.8732805101
15	0.8729568552
16	0.8725953492
17	0.8722743771
18	0.8719612301
19	0.8717245514
20	0.87158927
21	0.8713158244
22	0.8710735054
23	0.8708655731
24	0.8706539201
25	0.8704322454
26	0.8702816274
27	0.8700975214
28	0.8699400481
29	0.8697763924
30	0.8696655399
31	0.8695584953
32	0.8694678871
33	0.869355409
34	0.8692379903
35	0.8691519258
36	0.8690242761
37	0.8689295782
38	0.8687957023
39	0.8687122649
40	0.8686426011
41	0.8685860077
42	0.8685000562
43	0.8684146364
44	0.8683454737
45	0.8682814792
46	0.8681623771
47	0.868062207
48	0.8679645168
49	0.8678822854
50	0.867821934
51	0.8677488811
52	0.8676681169
53	0.8675709132
54	0.867487889
55	0.8674120966
56	0.867341314
57	0.8672738652
58	0.867222062
59	0.867164985
60	0.8671216811
61	0.867061977
62	0.866998139
63	0.8669307876
64	0.8668738803
65	0.8668322028
66	0.8667470575
67	0.8666748311
68	0.8665972384
69	0.8665653564
70	0.8665209
71	0.8664734605
72	0.8664231269
73	0.8663784518
74	0.8662907882
75	0.8662384438
76	0.8662184069
77	0.8661633548
78	0.8661565036
79	0.8661166508
80	0.8660937435
81	0.8660361559
82	0.8659799555
83	0.8659442797
84	0.8659013584
85	0.8658772709
86	0.8658706239
87	0.8658056294
88	0.8657909301
89	0.8657457294
90	0.8657440123
91	0.865706452
92	0.8656741675
93	0.865583753
94	0.8655429977
95	0.8654750878
96	0.8654527693
97	0.8654397283
98	0.8653983417
99	0.8653388212
100	0.8653200409
101	0.8652909522
102	0.8652564416
103	0.8652189442
104	0.8651693948
105	0.8651486348
106	0.8651269209
107	0.8651017242
108	0.8650739586
109	0.8650492635
110	0.8650049906
111	0.8649737217
112	0.8649271099
113	0.864888079
114	0.8648725554
115	0.8648259763
116	0.8648067623
117	0.8647683823
118	0.8647334257
119	0.8647187962
120	0.8646629051
121	0.8646565904
122	0.8646263184
123	0.8645981445
124	0.8645696337
125	0.8645567122
126	0.8644884699
127	0.8644648453
128	0.864440426
129	0.8644109826
130	0.8643528474
131	0.864326549
132	0.864312921
133	0.8642967631
134	0.8642825808
135	0.8642509118
136	0.8642179132
137	0.8641497585
138	0.8641163492
139	0.8641140612
140	0.8640608659
141	0.8640222095
142	0.863985659
143	0.8639851871
144	0.8639818975
145	0.8639527638
146	0.8639233967
147	0.8638946213
148	0.8638653468
149	0.8638245606
150	0.8637816523
151	0.8637268403
152	0.8636783999
153	0.8636405655
154	0.8635439403
155	0.8635123998
156	0.863471542
157	0.8634513287
158	0.8634180689
159	0.8633967951
160	0.8633522065
161	0.8633305088
162	0.8632798653
163	0.8632762357
164	0.8632572479
165	0.8632566722
166	0.8632073979
167	0.8631888571
168	0.8631688227
169	0.8631111622
170	0.8630769626
171	0.8630600779
172	0.8630397937
173	0.8630320899
174	0.8630314648
175	0.8629934848
176	0.8629722564
177	0.8629693606
178	0.8629295224
179	0.8629068344
180	0.8628756485
181	0.8628153848
182	0.8627849719
183	0.8627225794
184	0.862688927
185	0.8626450872
186	0.8626038229
187	0.862547578
188	0.862500407
189	0.862493413
190	0.8624762891
191	0.8624464655
192	0.8624003062
193	0.8623666333
194	0.8623503738
195	0.8623464331
196	0.8622986331
197	0.8622899329
198	0.8622864036
199	0.8622603138
200	0.8622252358
201	0.8622030727
202	0.8621860467
203	0.8621347939
204	0.8621208431
205	0.8620834907
206	0.8620672883
207	0.8620167347
208	0.861932545
209	0.8619323159
210	0.8618893735
211	0.8618829536
212	0.8618666966
213	0.861862015
214	0.8618585038
215	0.8618333511
216	0.8618316806
217	0.8617828329
218	0.8617376615
219	0.861694435
220	0.8616774724
221	0.8616243656
222	0.8615994547
223	0.8615472459
224	0.861513161
225	0.8615129005
226	0.8614830955
227	0.8614430196
228	0.86143618
229	0.8614270204
230	0.8613852533
231	0.8613697111
232	0.8613402295
233	0.8612998396
234	0.8612675843
235	0.861250654
236	0.8612195784
237	0.8611776166
238	0.8611384291
239	0.8611081752
240	0.8611068901
241	0.8610882473
242	0.861028117
243	0.8610035076
244	0.8610004414
245	0.8609876207
246	0.8609499556
247	0.8609472663
248	0.8609470335
249	0.8609318682
250	0.8608969624
251	0.8608967385
252	0.860892383
253	0.8608688878
254	0.8608370036
255	0.8607859462
256	0.8607379303
257	0.8607125392
258	0.8606847405
259	0.8606612498
260	0.8606172038
261	0.8605979433
262	0.8605651432
263	0.860525072
264	0.8605055508
265	0.8604609867
266	0.8604480843
267	0.8604138973
268	0.8603715733
269	0.8603357811
270	0.8603188697
271	0.8603179335
272	0.8602800192
273	0.8602596393
274	0.8602403857
275	0.8602230298
276	0.8602063047
277	0.8601714299
278	0.8601508132
279	0.860136081
280	0.8601161784
281	0.860107457
282	0.8601072812
283	0.8600803806
284	0.8600342984
285	0.8599913956
286	0.8599856394
287	0.859963907
288	0.8599308548
289	0.8598827458
290	0.8598761552
291	0.8598536376
292	0.8598454095
293	0.8598188818
294	0.8597717402
295	0.8597689695
296	0.8597313974
297	0.8597011445
298	0.8596713537
299	0.8596388524
300	0.8595996244
301	0.8595633608
302	0.8595445887
303	0.8594959296
304	0.8594841692
305	0.8594368834
306	0.8594321933
307	0.8594040395
308	0.8593953806
309	0.8593787151
310	0.8593701245
311	0.859347617
312	0.8593002524
313	0.8592801893
314	0.8592659073
315	0.8592374325
316	0.8592155604
317	0.8591868062
318	0.8591524708
319	0.8591150058
320	0.8590980554
321	0.8590679661
322	0.8590671108
323	0.8590426863
324	0.8590076818
325	0.8589698414
326	0.8589061875
327	0.858881025
328	0.8588654108
329	0.8588620738
330	0.8588514511
331	0.8588214572
332	0.8587829467
333	0.8587811868
334	0.8587535804
335	0.8587168514
336	0.8587025253
337	0.85867007
338	0.8586265119
339	0.8586178684
340	0.858607335
341	0.858603607
342	0.8585982127
343	0.8585777756
344	0.8585634402
345	0.8585396107
346	0.8585140179
347	0.858484878
348	0.8584401962
349	0.8583938067
350	0.8583657867
351	0.8583569979
352	0.8583320382
353	0.85831503
354	0.8582899735
355	0.8582613648
356	0.8582458471
357	0.858210617
358	0.8581837474
359	0.8581652308
360	0.8581530104
361	0.8581396115
362	0.8581162424
363	0.8580843455
364	0.8580691572
365	0.8580393456
366	0.8580311489
367	0.8580259961
368	0.8580182526
369	0.8580100733
370	0.8580031833
371	0.857995114
372	0.8579821273
373	0.8579646492
374	0.8579641914
375	0.8579591659
376	0.8579460614
377	0.8579384495
378	0.8579020474
379	0.8578601781
380	0.8578333353
381	0.8578120399
382	0.8577960891
383	0.8577752289
384	0.8577420049
385	0.8577173078
386	0.8576842241
387	0.8576713073
388	0.8576689055
389	0.8576468748
390	0.8576238501
391	0.8576179668
392	0.8575837167
393	0.8575757937
394	0.857562958
395	0.8575399813
396	0.857522
397	0.8575135014
398	0.8574904675
399	0.8574843631
400	0.8574691261
401	0.857457528
402	0.8574531312
403	0.8574267752
404	0.8573975006
405	0.857374094
406	0.8573583274
407	0.8573486723
408	0.8573087199
409	0.8573058002
410	0.8572842577
411	0.8572668355
412	0.8572309438
413	0.8572298684
414	0.857219987
415	0.8572187717
416	0.857184818
417	0.8571838504
418	0.8571472132
419	0.8571435963
420	0.8571261526
421	0.8571210278
422	0.857114733
423	0.8571024869
424	0.8570744121
425	0.8570480587
426	0.8570263176
427	0.857004828
428	0.8569790943
429	0.8569650793
430	0.8569635246
431	0.8569585008
432	0.8569449504
433	0.8569273406
434	0.8569190121
435	0.856911068
436	0.8568993716
437	0.8568904492
438	0.8568710743
439	0.8568677128
440	0.8568404667
441	0.8568229046
442	0.8568010704
443	0.8567774577
444	0.8567563061
