iter	Passed	Remaining
0	54	54194
1	61	30513
2	67	22455
3	73	18382
4	79	15872
5	85	14176
6	91	12947
7	97	12047
8	103	11408
9	109	10818
10	114	10330
11	122	10101
12	128	9771
13	134	9489
14	140	9251
15	147	9097
16	154	8913
17	160	8747
18	166	8589
19	173	8503
20	178	8338
21	186	8310
22	193	8219
23	201	8199
24	207	8082
25	213	7979
26	218	7891
27	225	7818
28	231	7757
29	237	7665
30	240	7530
31	245	7415
32	248	7273
33	251	7145
34	254	7028
35	257	6890
36	259	6762
37	262	6641
38	264	6516
39	266	6396
40	268	6281
41	270	6174
42	272	6072
43	274	5967
44	276	5867
45	278	5774
46	280	5684
47	282	5602
48	284	5514
49	285	5431
50	287	5348
51	288	5267
52	290	5188
53	291	5112
54	293	5042
55	295	4973
56	296	4910
57	298	4846
58	299	4782
59	301	4720
60	302	4660
61	304	4603
62	305	4547
63	307	4494
64	308	4443
65	311	4410
66	313	4361
67	314	4313
68	316	4267
69	317	4224
70	319	4179
71	320	4135
72	322	4092
73	323	4051
74	325	4014
75	326	3975
76	328	3933
77	329	3898
78	331	3859
79	332	3824
80	333	3788
81	335	3754
82	336	3719
83	338	3688
84	339	3655
85	341	3624
86	342	3590
87	343	3560
88	344	3530
89	346	3501
90	347	3469
91	348	3441
92	350	3414
93	351	3388
94	353	3362
95	354	3338
96	355	3313
97	357	3287
98	358	3263
99	360	3240
100	361	3217
101	362	3195
102	364	3172
103	365	3151
104	367	3132
105	369	3112
106	370	3092
107	372	3072
108	373	3053
109	375	3034
110	376	3016
111	378	2997
112	379	2979
113	381	2961
114	382	2943
115	384	2926
116	385	2909
117	387	2899
118	389	2886
119	391	2873
120	393	2858
121	394	2842
122	396	2826
123	397	2811
124	399	2796
125	401	2783
126	403	2770
127	404	2757
128	406	2742
129	407	2728
130	409	2714
131	410	2700
132	412	2685
133	413	2671
134	414	2658
135	416	2644
136	417	2630
137	419	2618
138	421	2608
139	422	2593
140	423	2581
141	425	2568
142	427	2559
143	428	2545
144	429	2532
145	431	2521
146	432	2509
147	434	2498
148	435	2487
149	437	2476
150	438	2466
151	440	2455
152	441	2444
153	442	2433
154	444	2423
155	445	2412
156	447	2402
157	448	2391
158	450	2381
